track_name,artist_name,artist_count,streams,days_released,is_ranked,chart_rank,inverse_rank,num_playlists,is_minor,bpm,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness
Running Up That Hill (A Deal With God),Kate Bush,1,1024858327,14085,0,0,0.0,21811,1,108,0.63,0.2,0.55,0.72,0.0,0.06,0.06
Falling,Harry Styles,1,1023187129,1579,0,0,0.0,7556,0,110,0.57,0.06,0.27,0.84,0.0,0.09,0.03
Revenge,XXXTENTACION,1,1022258230,2419,1,11,0.09090909090909091,3600,1,140,0.75,0.18,0.25,0.78,0.0,0.11,0.26
ýýýabcdefu,Gayle,1,1007612429,970,0,0,0.0,7215,0,122,0.7,0.42,0.54,0.3,0.0,0.37,0.05
Anti-Hero,Taylor Swift,1,999748277,536,1,56,0.017857142857142856,9082,0,97,0.64,0.51,0.63,0.12,0.0,0.19,0.05
Arcade,Duncan Laurence,1,991336132,1860,0,0,0.0,6646,1,72,0.45,0.27,0.33,0.82,0.0,0.14,0.04
Glimpse of Us,Joji,1,988515741,669,1,6,0.16666666666666666,6330,0,170,0.44,0.27,0.32,0.89,0.0,0.14,0.05
Summertime Sadness,Lana Del Rey,1,983637508,4847,1,52,0.019230769230769232,20333,1,112,0.56,0.24,0.66,0.07,0.0,0.12,0.03
Where Are You Now,"Lost Frequencies, Calum Scott",2,972509632,984,1,44,0.022727272727272728,10565,1,121,0.67,0.26,0.64,0.52,0.0,0.17,0.1
I Love You So,The Walters,1,972164968,3420,1,7,0.14285714285714285,7536,0,76,0.58,0.46,0.67,0.65,0.0,0.13,0.04
No Lie,"Sean Paul, Dua Lipa",2,956865266,2699,0,0,0.0,7370,0,102,0.74,0.45,0.89,0.05,0.0,0.26,0.13
HEARTBREAK ANNIVERSARY,Giveon,1,951637566,1509,1,4,0.25,5398,0,129,0.61,0.59,0.46,0.56,0.0,0.13,0.05
Sure Thing,Miguel,1,950906471,5068,1,19,0.05263157894736842,13801,1,81,0.68,0.51,0.6,0.03,0.0,0.19,0.1
Unstoppable,Sia,1,939844851,3001,1,13,0.07692307692307693,7681,0,174,0.47,0.27,0.78,0.11,0.0,0.1,0.08
Get Lucky - Radio Edit,"Pharrell Williams, Nile Rodgers, Daft Punk",3,933815613,4116,0,0,0.0,52898,1,116,0.79,0.87,0.81,0.04,0.0,0.1,0.04
Under The Influence,Chris Brown,1,929964809,1649,1,26,0.038461538461538464,3859,1,117,0.73,0.31,0.69,0.06,0.0,0.11,0.04
Wait a Minute!,Willow,1,924193303,3376,0,0,0.0,11985,1,101,0.76,0.63,0.71,0.03,0.0,0.1,0.03
THATS WHAT I WANT,Lil Nas X,1,920797189,935,0,0,0.0,7963,1,88,0.74,0.55,0.85,0.01,0.0,0.05,0.22
Dark Red,Steve Lacy,1,920045682,2605,1,7,0.14285714285714285,10431,0,172,0.6,0.77,0.78,0.45,0.0,0.12,0.06
Stan,"Eminem, Dido",2,918915401,8906,0,0,0.0,17115,1,80,0.78,0.53,0.74,0.04,0.0,0.45,0.21
Moscow Mule,Bad Bunny,1,909001996,704,1,33,0.030303030303030304,4572,1,100,0.8,0.29,0.67,0.29,0.0,0.12,0.03
Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",2,899183384,746,1,77,0.012987012987012988,7112,0,107,0.8,0.82,0.8,0.43,0.0,0.14,0.04
Infinity,Jaymes Young,1,888046992,2482,0,0,0.0,4375,1,122,0.67,0.5,0.67,0.15,0.0,0.3,0.04
Heartless,Kanye West,1,887906111,5943,1,34,0.029411764705882353,17504,1,88,0.79,0.66,0.65,0.05,0.0,0.25,0.14
PROVENZA,Karol G,1,885093467,719,1,34,0.029411764705882353,6587,0,111,0.87,0.53,0.52,0.66,0.01,0.11,0.05
Lover,Taylor Swift,1,882831184,4482,1,23,0.043478260869565216,8448,0,206,0.43,0.5,0.55,0.5,0.0,0.15,0.1
MIDDLE OF THE NIGHT,Elley Duhï¿,1,872137015,1551,1,8,0.125,4057,1,186,0.41,0.09,0.61,0.02,0.0,0.12,0.05
Streets,Doja Cat,1,865640097,1615,0,0,0.0,5728,0,90,0.75,0.19,0.46,0.21,0.04,0.34,0.08
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",4,863756573,1180,0,0,0.0,12043,0,123,0.82,0.8,0.86,0.01,0.0,0.3,0.13
MONEY,Lisa,1,863625566,942,1,13,0.07692307692307693,2566,1,140,0.83,0.4,0.55,0.16,0.0,0.14,0.23
I WANNA BE YOUR SLAVE,Mï¿½ï¿½ne,1,851070493,1117,0,0,0.0,4873,0,133,0.75,0.96,0.61,0.0,0.0,0.18,0.04
happier,Olivia Rodrigo,1,850608354,1054,1,4,0.25,3069,0,169,0.39,0.36,0.45,0.81,0.0,0.08,0.13
